# name
name;ASK-21 570kg
# mass in kg
mass;570
# min sink (m/s);
min_sink;0.724
# min sink at (km/h);
min_sink_at;75
# best glide ratio;
best_glide;33
# best glide at (km/h);
best_glide_at;95

airspeed (km/h);Sink rate (m/s)
67.23791;1.010735
68.14517;0.9141206
69.75807;0.8026425
71.16936;0.755574
72.78226;0.7258465
74.49598;0.7159373
77.82259;0.7208919
82.96372;0.7332783
86.49194;0.7506194
94.15324;0.7927334
106.754;0.9165979
111.5928;0.9810075
119.3549;1.107349
126.4113;1.228737
132.6613;1.355079
137.5;1.473989
142.0363;1.587944
147.8831;1.7564
153.3266;1.924856
158.3669;2.08588
163.004;2.256813
168.6492;2.467382
174.3952;2.702725
181.25;3
