# name;
name;ASK-23 346kg
# mass in kg;
mass;346
# min sink (m/s);
min_sink;0.66
# min sink at (km/h);
min_sink_at;74
# best glide ratio;
best_glide;34
# best glide at (km/h);
best_glide_at;90

airspeed (km/h);Sink rate (m/s)
59.99028;0.9751937
61.64317;0.7555554
62.12932;0.7350559
62.80992;0.7116278
63.97667;0.6911282
65.53233;0.6852711
67.86583;0.6794142
70.97716;0.6794142
75.158;0.6823426
80.99174;0.6999137
84.58921;0.7174848
89.74235;0.7555554
94.99271;0.7994831
100.4375;0.8639103
105.9796;0.9371231
113.5634;1.071834
120.2722;1.212403
130.1896;1.458398
137.4818;1.660465
146.6213;1.935745
153.719;2.170026
161.8862;2.439449
169.2757;2.714729
175.3038;2.960723
182.3043;3.274074
185.5129;3.435142
