# name
name;ASTIR CS JEANS 350kg
# mass in kg;
mass;350
# min sink (m/s);
min_sink;0.6
# min sink at (km/h);
min_sink_at;75
# best glide ratio;
best_glide;37.3
# best glide at (km/h);
best_glide_at;95

airspeed (km/h);Sink rate (m/s)
61.41593;1.4783
62.01328;1.103074
63.14159;0.7956598
64.13717;0.6962023
65.46461;0.637432
67.19027;0.6012656
69.04868;0.5650992
72.36726;0.5379745
77.21239;0.5289329
81.85841;0.5334536
85.57523;0.5515369
89.42478;0.592224
97.78761;0.6871607
106.9469;0.8318262
115.0443;0.9810125
123.8053;1.13924
132.4336;1.329114
143.8496;1.613924
155.3319;1.925859
165.0885;2.255877
174.7788;2.608499
184.5354;2.988246
192.9646;3.345389
