# name;
name;Duo Discus XL 500kg
# mass in kg;
mass;500
# min sink (m/s);
min_sink;0.53
# min sink at (km/h);
min_sink_at;85
# best glide ratio;
best_glide;46
# best glide at (km/h);
best_glide_at;89
;
airspeed (km/h);Sink rate (m/s)
67.53684;0.7809396
68.29474;0.7303524
69.11579;0.6734418
70.37894;0.6228547
72.27368;0.5849143
74.54737;0.5596207
77.13684;0.5406505
79.72632;0.5216804
81.87369;0.5185186
84.58947;0.5280038
88.82105;0.5343271
92.92632;0.5596207
99.05263;0.5975611
106.9474;0.6734418
112.8842;0.7429992
117.9368;0.8030715
123.1158;0.8789523
128.8;0.954833
135.3053;1.049684
139.5368;1.119241
145.2842;1.236224
150.1474;1.346884
153.5579;1.432249
156.0842;1.504969
158.6737;1.593496
162.0211;1.732611
165.2421;1.893857
168.1474;2.045619
172.6947;2.270099
176.4211;2.450316
180.2105;2.630533
186.9053;2.908762
195.8105;3.281843
