# name;
name;LS-8 15m 483kg
# mass in kg;
mass;483
# min sink (m/s);
min_sink;0.714
# min sink at (km/h);
min_sink_at;100
# best glide ratio;
best_glide;42.3
# best glide at (km/h);
best_glide_at;114
;
airspeed (km/h);Sink rate (m/s)
94.05405;0.8732823
95.06757;0.8183205
96.48649;0.7603052
97.60135;0.7267174
100.0338;0.7145036
103.3784;0.7175571
107.2297;0.7297708
113.8176;0.7480914
122.4324;0.8061067
129.4257;0.8702288
136.4189;0.9312975
143.7162;1.007633
149.8987;1.074809
156.9932;1.163359
166.9257;1.319084
175.5405;1.480916
184.1554;1.645801
191.6554;1.80458
196.0135;1.935878
200.5743;2.082443
205.946;2.280916
210.2027;2.473282
214.3581;2.659542
218.1081;2.876336
221.9595;3.105343
225.1013;3.337404
228.1419;3.554198
231.7905;3.832061
